iteration,phase,jump_height_m,jump_height_cm,best_so_far_cm,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
-20,sobol,0.1610735094848832,16.107350948488317,16.107350948488317,-0.10000000000000009,0.6,-1.1,600.0,1500.0,1200.0,0.05,0.04,0.03,0.3,0.3,0.3
-19,sobol,0.0,0.0,16.107350948488317,-0.5054018343798816,1.615045553073287,-0.8367858491837978,139.72793646156788,232.52057158388197,217.8919953107834,0.09691796361468732,0.3396054404322058,0.36226386329159144,0.4742596914060413,0.24495997196063396,0.3855795070994645
-18,sobol,0.5727942147162992,57.279421471629924,57.279421471629924,-0.21344581805169582,0.9314428959041834,-2.2387630939483643,59.25945855677128,80.24501560255885,128.79248049110174,0.37148065137676894,0.2527728506922722,0.24306422010064127,0.42054177019745104,0.08517135176807641,0.4724018610082566
-17,sobol,0.03884216004271521,3.884216004271521,57.279421471629924,-0.9914157106541097,2.496343731880188,-1.3498463965952396,238.61643336713314,501.3056612107903,403.3946552593261,0.170823717052117,0.04539374999701977,0.09231841369532048,0.27078666267916557,0.3372340339701622,0.14402675516903402
-16,sobol,0.0,0.0,57.279421471629924,-0.8863292606547475,0.7332163359969854,-0.6960152629762888,190.1650445908308,547.3071886319667,360.4223078209907,0.34433354840613906,0.2718675453681499,0.27685878139920533,0.5825746062211692,0.17248976002447305,0.09109560502693057
-15,sobol,0.5179484606784636,51.79484606784636,57.279421471629924,-0.15294697741046548,2.1673503182828426,-1.8388379272073507,17.02226348221302,89.41645095124841,141.14777203649282,0.15569469715468587,0.0641068356204778,0.01285491181537509,0.18185974303632974,0.4215144490823149,0.5924212552607059
-14,sobol,0.1793422601609414,17.93422601609414,57.279421471629924,-0.6106247445568442,1.350949451327324,-1.2405718583613634,183.9903423935175,223.20973967202008,52.171715795993805,0.22314408264122906,0.16313438508659603,0.20210264496505262,0.23126367675140497,0.5442420142702757,0.40409985869191584
-13,sobol,2.4431689263116754,244.31689263116755,244.31689263116755,-1.344190136063844,1.7840076927095652,-2.347748128697276,128.85165356099606,359.92935286834836,449.5101547334343,0.03323010710068047,0.3708913464471698,0.3282892522867769,0.39135773405432694,0.2989770908374339,0.21228663292713462
-12,sobol,0.0,0.0,244.31689263116755,-1.437512784730643,0.8154347892850637,-1.1071774754673243,33.807485699653625,272.5360076595098,425.6664440315217,0.324776370683685,0.29468037526123225,0.2933068993967027,0.3058704594150185,0.2680665665771812,0.26207816861569877
-11,sobol,0.07674709544625069,7.674709544625069,244.31689263116755,-0.7033980824053288,2.2563970796763897,-2.499998142942786,218.32134261727333,440.38578214123845,91.80679442360997,0.12316412503831088,0.08730064111761748,0.045060859806835656,0.4574383008293807,0.5665577374398708,0.35492951860651367
-10,sobol,0.04595898768270984,4.595898768270984,244.31689263116755,-0.059490547981113195,1.197808712720871,-0.5814196933060884,100.81620559096336,462.38428440876305,240.0586232356727,0.2507175319548696,0.18936907833442093,0.16961112508550288,0.506857968121767,0.4508136452175676,0.5082212813664228
-9,sobol,2.608044477075669,260.8044477075669,260.8044477075669,-0.7937883641570807,1.6396636459976435,-1.938597721979022,167.08426922559738,44.84470868483186,277.30212359689176,0.05087703702040017,0.39674511058256035,0.3119363287929446,0.1146693249233067,0.15178536497987805,0.1748760615941137
-8,sobol,0.4356756261578653,43.56756261578653,260.8044477075669,-1.0843256847001612,1.4038780890405178,-2.1089853271842003,149.19283092021942,127.69872499629855,471.6660201456398,0.2662246101070196,0.10904082573018968,0.15483571211807431,0.3577492301352322,0.3675906969700008,0.05641936254687607
-7,sobol,0.0,0.0,260.8044477075669,-0.3065388919785619,1.9610579814761877,-1.4979007951915264,87.96068087220192,582.1942193899304,15.06271718069911,0.07840777724049985,0.31679846703074876,0.37852199327200653,0.19933362528681753,0.06340948985889554,0.560562984785065
-6,sobol,1.4549950237877252,145.49950237877252,260.8044477075669,-0.41299757407978177,0.5196428243070841,-1.5795654207468033,232.9017709195614,320.4274391196668,163.43777092173696,0.38884230869822206,0.22691304409876467,0.22652037875726821,0.14563353983685373,0.2151404183357954,0.4389796152710914
-5,sobol,0.6946653535059475,69.46653535059475,260.8044477075669,-1.1902350476011634,2.0796532183885574,-0.9406507797539234,49.91541236639023,189.53330197371542,323.4174770396203,0.1996345874015242,0.01915320025756955,0.06001627744175494,0.5446699464693665,0.5166360785719006,0.24407566664740443
-4,sobol,0.6756293341010826,67.56293341010826,260.8044477075669,-1.1615749862976372,0.6159671563655138,-2.383461220189929,176.91566832363605,525.730286128819,31.7278606723994,0.08901343572884798,0.20708177719265225,0.05781033056788147,0.168923501111567,0.5105718181934207,0.10994075541384518
-3,sobol,0.0,0.0,260.8044477075669,-0.4417410744354129,2.0501011982560158,-1.0262847412377596,120.02258770167828,57.406553542241454,486.22390070930123,0.2888489575125277,0.024077019803225994,0.28054479453712705,0.5954867529682815,0.195147006213665,0.5758169246371835
-2,sobol,0.004204651566983797,0.4204651566983797,260.8044477075669,-0.33579742396250367,1.4993250407278538,-1.928017845377326,200.96066318452358,255.2185007557273,335.881972219795,0.16120294800028206,0.1291938437242061,0.3243042420782149,0.36991061642765993,0.07027102196589112,0.41973159648478026
-1,sobol,0.2907061400433056,29.070614004330558,260.8044477075669,-1.0550820166245103,1.9323833417147398,-0.5351949129253626,22.07179106771946,381.50288595817983,181.9572829362005,0.3628134720027447,0.312194852726534,0.15722908996976914,0.25271817045286293,0.38623294332064684,0.19461575364694
1,bo,2.8502022869656796,285.020228696568,285.020228696568,-1.0774924642611647,1.8541259422318686,-2.347083044489378,140.18203953880257,60.16314099855652,412.92631157462563,0.010130331077036316,0.4,0.3650362338185641,0.18872004440043355,0.15434003805041288,0.1676438168140365
2,bo,3.587852428466693,358.7852428466693,358.7852428466693,-1.2685611695394072,1.884788308941895,-2.5,193.6513913039105,158.13477298429314,432.8626993646786,0.017432646493160828,0.4,0.26654448234106887,0.08766005333470925,0.22854784153417507,0.07111749903303607
3,bo,0.0,0.0,358.7852428466693,-1.3372433771357453,1.7007026328360575,-2.5,250.0,10.0,500.0,0.18416827471086897,0.4,0.24911622576087625,0.05,0.2885348245694561,0.1291802882581329
4,bo,3.183449224625971,318.34492246259714,358.7852428466693,-1.5,1.913053198083817,-2.5,245.11501245705398,10.0,482.52379733099866,0.011760215757034643,0.4,0.21869358762752955,0.05,0.05,0.05
5,bo,1.4680169029282573,146.80169029282573,358.7852428466693,-1.1286633490114724,2.4222579546330354,-2.5,238.43193125332388,100.24370457137294,460.49766134904564,0.015628403267501985,0.4,0.19155689513108054,0.05,0.5318719282568952,0.05
6,bo,0.4084937707487406,40.84937707487406,358.7852428466693,-1.5,0.927546126867928,-2.5,135.46707529740075,36.43656595105804,377.6115053085369,0.01,0.4,0.1936788191567211,0.05,0.19438342182021728,0.05
7,bo,2.373862189920909,237.3862189920909,358.7852428466693,-0.6627179980872938,1.8040854571967815,-2.5,241.79341527714593,260.89429802689875,320.61888866541807,0.01,0.4,0.28476656963156927,0.05,0.2310740572648854,0.05
8,bo,1.250318534009181,125.0318534009181,358.7852428466693,-1.3411025818003153,1.8074257013880783,-2.3120069693425194,109.04732275186987,16.103393387732467,327.6714863711625,0.02791850096742759,0.4,0.2613939229816822,0.05,0.27365299011250577,0.05
9,bo,3.7965714645337076,379.6571464533708,379.6571464533708,-1.465744708723267,1.8597733147537039,-2.421277044342332,197.61994829861416,125.00826807752073,500.0,0.013964928469565329,0.4,0.31571821743072154,0.21447995459173647,0.05,0.15961568200701629
